Trace Path6
X(mm), Y(mm), Z(mm)
32.9938115610513, 68.0382878291251, 144.739723687704
32.9938115610506, 67.7750833148751, 144.90342701493
32.993811561054, 67.5836949731345, 145.026955867753
32.993811561054, 67.5836949731345, 145.026955867753
32.9938115610511, 67.401980102968, 145.145605177181
32.993811561051, 67.2612300723759, 145.240119048762
32.9938115610517, 67.2377508775051, 145.256392396973
32.9938115610547, 67.1278520072642, 145.33445259948
32.9938115610505, 67.081692566904, 145.368301057595
32.9938115610482, 67.0631333053995, 145.382185356185
32.9938115610512, 67.0328267134648, 145.413294814816
32.9938115610512, 67.0328267134648, 145.413294814816
32.9938115610562, 67.045816181424, 145.409977775341
32.9938115610514, 67.0698523980177, 145.39754138981
32.9938115610488, 67.087168555751, 145.388403486715
32.9938115610518, 67.2573607584429, 145.293774900174
32.9938115610486, 67.2783413369245, 145.281889616168
